param_C;param_solver;param_max_iter;mean_test_score;std_test_score
10;lbfgs;300;0.9583333333333335;0.02763853991962833
10;lbfgs;200;0.9583333333333335;0.02763853991962833
10;lbfgs;100;0.9583333333333335;0.02763853991962833
10;liblinear;300;0.9416666666666668;0.04930066485916346
10;liblinear;200;0.9416666666666668;0.04930066485916346
10;liblinear;100;0.9416666666666668;0.04930066485916346
1;lbfgs;200;0.9416666666666667;0.036324157862838935
1;lbfgs;300;0.9416666666666667;0.036324157862838935
1;lbfgs;100;0.9416666666666667;0.036324157862838935
0.1;lbfgs;300;0.8916666666666667;0.0721687836487032
0.1;lbfgs;200;0.8916666666666667;0.0721687836487032
0.1;lbfgs;100;0.8916666666666667;0.0721687836487032
1;liblinear;100;0.8750000000000001;0.07592027982620247
1;liblinear;200;0.8750000000000001;0.07592027982620247
1;liblinear;300;0.8750000000000001;0.07592027982620247
0.01;lbfgs;300;0.8583333333333334;0.0721687836487032
0.01;lbfgs;200;0.8583333333333334;0.0721687836487032
0.01;lbfgs;100;0.8583333333333334;0.0721687836487032
0.1;liblinear;200;0.8166666666666668;0.07637626158259735
0.1;liblinear;300;0.8166666666666668;0.07637626158259735
0.1;liblinear;100;0.8166666666666668;0.07637626158259735
0.01;liblinear;100;0.8166666666666667;0.04999999999999999
0.01;liblinear;300;0.8166666666666667;0.04999999999999999
0.01;liblinear;200;0.8166666666666667;0.04999999999999999
