param_n_estimators;param_max_depth;param_min_samples_split;param_min_samples_leaf;mean_test_score;std_test_score
100;10;10;2;0.9583333333333335;0.02763853991962833
50;30;5;2;0.9583333333333335;0.02763853991962833
100;20;10;2;0.9583333333333335;0.02763853991962833
150;20;5;2;0.9583333333333335;0.02763853991962833
100;20;5;2;0.9583333333333335;0.02763853991962833
50;20;5;2;0.9583333333333335;0.02763853991962833
100;20;2;2;0.9583333333333335;0.02763853991962833
100;20;10;1;0.9583333333333335;0.02763853991962833
100;10;10;1;0.9583333333333335;0.02763853991962833
100;30;5;2;0.9583333333333335;0.02763853991962833
100;10;2;2;0.9583333333333335;0.02763853991962833
150;30;5;2;0.9583333333333335;0.02763853991962833
50;10;5;2;0.9583333333333335;0.02763853991962833
100;10;5;2;0.9583333333333335;0.02763853991962833
150;10;5;2;0.9583333333333335;0.02763853991962833
50;10;10;2;0.9583333333333335;0.02763853991962833
50;30;10;2;0.9583333333333335;0.02763853991962833
150;10;10;2;0.9583333333333335;0.02763853991962833
100;30;10;2;0.9583333333333335;0.02763853991962833
150;20;10;2;0.9583333333333335;0.02763853991962833
50;20;10;2;0.9583333333333335;0.02763853991962833
150;30;10;2;0.9583333333333335;0.02763853991962833
150;;5;2;0.9583333333333335;0.02763853991962833
100;;2;2;0.9583333333333335;0.02763853991962833
100;;10;1;0.9583333333333335;0.02763853991962833
50;;5;2;0.9583333333333335;0.02763853991962833
100;30;10;1;0.9583333333333335;0.02763853991962833
100;;5;2;0.9583333333333335;0.02763853991962833
50;;10;2;0.9583333333333335;0.02763853991962833
100;;10;2;0.9583333333333335;0.02763853991962833
150;;10;2;0.9583333333333335;0.02763853991962833
100;30;2;2;0.9583333333333335;0.02763853991962833
150;10;10;4;0.9500000000000001;0.03726779962499649
100;20;10;4;0.9500000000000001;0.03726779962499649
150;30;2;1;0.9500000000000001;0.03726779962499649
150;30;10;1;0.9500000000000001;0.03726779962499649
150;20;10;4;0.9500000000000001;0.03726779962499649
100;10;10;4;0.9500000000000001;0.03726779962499649
100;30;5;1;0.9500000000000001;0.03726779962499649
100;20;2;4;0.9500000000000001;0.03726779962499649
150;20;2;1;0.9500000000000001;0.03726779962499649
150;20;2;4;0.9500000000000001;0.03726779962499649
100;20;5;1;0.9500000000000001;0.03726779962499649
150;20;5;1;0.9500000000000001;0.03726779962499649
50;20;10;1;0.9500000000000001;0.03726779962499649
150;20;10;1;0.9500000000000001;0.03726779962499649
150;10;5;4;0.9500000000000001;0.03726779962499649
100;20;5;4;0.9500000000000001;0.03726779962499649
150;20;5;4;0.9500000000000001;0.03726779962499649
150;30;10;4;0.9500000000000001;0.03726779962499649
100;10;5;4;0.9500000000000001;0.03726779962499649
150;;10;4;0.9500000000000001;0.03726779962499649
150;;2;1;0.9500000000000001;0.03726779962499649
100;30;10;4;0.9500000000000001;0.03726779962499649
100;;5;1;0.9500000000000001;0.03726779962499649
150;;5;1;0.9500000000000001;0.03726779962499649
50;;10;1;0.9500000000000001;0.03726779962499649
150;;10;1;0.9500000000000001;0.03726779962499649
100;;2;4;0.9500000000000001;0.03726779962499649
150;;2;4;0.9500000000000001;0.03726779962499649
150;30;5;4;0.9500000000000001;0.03726779962499649
100;;5;4;0.9500000000000001;0.03726779962499649
150;;5;4;0.9500000000000001;0.03726779962499649
100;30;5;4;0.9500000000000001;0.03726779962499649
150;10;2;4;0.9500000000000001;0.03726779962499649
100;;10;4;0.9500000000000001;0.03726779962499649
150;30;5;1;0.9500000000000001;0.03726779962499649
100;10;5;1;0.9500000000000001;0.03726779962499649
150;10;10;1;0.9500000000000001;0.03726779962499649
100;10;2;4;0.9500000000000001;0.03726779962499649
50;10;10;1;0.9500000000000001;0.03726779962499649
150;10;5;1;0.9500000000000001;0.03726779962499649
50;30;10;1;0.9500000000000001;0.03726779962499649
100;30;2;4;0.9500000000000001;0.03726779962499649
150;10;2;1;0.9500000000000001;0.03726779962499649
150;30;2;4;0.9500000000000001;0.03726779962499649
50;20;2;2;0.95;0.016666666666666663
150;20;2;2;0.95;0.016666666666666663
150;;2;2;0.95;0.016666666666666663
50;;2;2;0.95;0.016666666666666663
50;10;2;2;0.95;0.016666666666666663
50;30;2;2;0.95;0.016666666666666663
150;10;2;2;0.95;0.016666666666666663
150;30;2;2;0.95;0.016666666666666663
50;30;5;4;0.9416666666666667;0.036324157862838935
50;30;2;4;0.9416666666666667;0.036324157862838935
50;30;10;4;0.9416666666666667;0.036324157862838935
50;;2;1;0.9416666666666667;0.02763853991962833
50;30;5;1;0.9416666666666667;0.02763853991962833
100;30;2;1;0.9416666666666667;0.02763853991962833
50;;5;1;0.9416666666666667;0.02763853991962833
50;;2;4;0.9416666666666667;0.036324157862838935
50;;5;4;0.9416666666666667;0.036324157862838935
50;;10;4;0.9416666666666667;0.036324157862838935
50;10;2;1;0.9416666666666667;0.02763853991962833
100;10;2;1;0.9416666666666667;0.02763853991962833
50;10;5;1;0.9416666666666667;0.02763853991962833
50;10;2;4;0.9416666666666667;0.036324157862838935
50;10;5;4;0.9416666666666667;0.036324157862838935
50;10;10;4;0.9416666666666667;0.036324157862838935
100;;2;1;0.9416666666666667;0.02763853991962833
100;20;2;1;0.9416666666666667;0.02763853991962833
50;20;5;1;0.9416666666666667;0.02763853991962833
50;20;2;4;0.9416666666666667;0.036324157862838935
50;20;5;4;0.9416666666666667;0.036324157862838935
50;20;10;4;0.9416666666666667;0.036324157862838935
50;30;2;1;0.9416666666666667;0.02763853991962833
50;20;2;1;0.9416666666666667;0.02763853991962833
